review_number,block,block_chronology,block_position
55327,KeyValueHandler_0,mei,mesmo arquivo
55327,KeyValueHandler_0_rev_19,mei/final,mesmo arquivo
55359,BucketStreamState_0,ini/mei/final,mesmo arquivo
55662,AbstractGenericHandler_1,ini/mei/final,arquivo diferente
55662,AbstractEndpoint_0,ini/mei/final,mesmo arquivo
55700,AbstractGenericHandler_1,ini/mei/final,arquivo diferente
55700,AbstractEndpoint_0,ini/mei/final,mesmo arquivo
55844,ConfigHandler_0,unique/mei,arquivo diferente
56553,DefaultCoreEnvironment_4,ini/mei/final,mesmo arquivo
56631,DCPHandler_5,ini/mei/final,mesmo arquivo
56678,AbstractLoader_1,mei,mesmo arquivo
57341,BucketStreamState_2,ini/mei/final,mesmo arquivo
57341,KeyValueLocator_7,ini/mei/final,mesmo arquivo
57814,DCPHandler_0,unique/ini,mesmo arquivo
57814,DCPHandler_0_rev_1,mei/final,mesmo arquivo
58840,AbstractEndpoint_0,ini/mei/final,mesmo arquivo
58840,AbstractEndpoint_1,ini/mei/final,mesmo arquivo
59182,CouchbaseNode_0,ini/mei/final,mesmo arquivo
59972,AbstractGenericHandler_0,ini/mei/final,arquivo diferente
60731,DCPHandler_0,ini/mei/final,mesmo arquivo
60830,RequestHandler_0,ini/mei/final,mesmo arquivo
60830,RequestHandler_3,ini/mei/final,mesmo arquivo
60830,RequestHandler_4,ini/mei/final,mesmo arquivo
60830,RequestHandler_1,ini/mei/final,mesmo arquivo
60831,DCPHandler_4,unique/ini,mesmo arquivo
60831,DCPConnection_2,ini/mei,arquivo diferente
60831,DCPHandler_3,ini/mei,mesmo arquivo
60855,AbstractGenericHandler_1,ini/mei/final,mesmo arquivo
60860,AbstractGenericHandler_0,ini/mei/final,mesmo arquivo
60928,DCPHandler_0,mei/final,mesmo arquivo
61170,AbstractGenericHandler_1,ini/mei/final,mesmo arquivo
61170,AbstractGenericHandler_0,ini/mei/final,mesmo arquivo
61413,AbstractGenericHandler_0,ini/mei/final,mesmo arquivo
61512,DCPLocator_14,mei/final,mesmo arquivo
61512,DCPConnection_6,mei/final,arquivo diferente
61512,DCPConnection_8,mei/final,arquivo diferente
61512,CouchbaseCore_1,unique/mei,mesmo arquivo
63853,SSLEngineFactory_0,ini/mei/final,mesmo arquivo
64703,AbstractGenericHandler_1,mei/final,mesmo arquivo
64705,AbstractGenericHandler_1,ini/mei/final,mesmo arquivo
65673,AbstractEndpoint_0,ini/mei/final,mesmo arquivo
66413,ConfigLocator_0,ini/mei/final,arquivo diferente
68916,AbstractEndpoint_2,ini/mei,mesmo arquivo
70294,DefaultMemcachedBucketConfig_0,mei/final,arquivo diferente
72365,RetryHelper_2,mei/final,mesmo arquivo
73037,SearchHandler_1,ini/mei/final,arquivo diferente
73037,SearchHandler_0,ini/mei/final,ambos
75076,DefaultConfigurationProvider_1,ini/mei/final,mesmo arquivo
75076,AddServiceRequest_10,ini/mei,mesmo arquivo
75076,AbstractRefresher_5,ini/mei,mesmo arquivo
75076,AbstractPoolingService_14,ini/mei,mesmo arquivo
75076,DefaultConfigurationProvider_2,ini/mei/final,mesmo arquivo
75076,HttpRefresher_6,ini/mei/final,mesmo arquivo
75076,SnapshotMarkerMessage_11,mei/final,mesmo arquivo
75076,MutationMessage_10,mei/final,mesmo arquivo
75858,CouchbaseCore_0,unique/ini,ambos
75858,CouchbaseCore_0_rev_1,mei/final,ambos
76055,YasjlQueryResponseParser_0,ini/mei/final,mesmo arquivo
76091,KeyValueHandler_0,unique/ini,mesmo arquivo
76934,CarrierRefresher_1,mei/final,mesmo arquivo
78236,CouchbaseNode_1,mei/final,mesmo arquivo
79445,KeyValueHandler_2,ini/mei/final,mesmo arquivo
82441,KeyValueHandler_0,ini/mei/final,mesmo arquivo
83079,CouchbaseCore_0,ini/mei/final,mesmo arquivo
84190,DefaultPortInfo_0,ini/mei/final,mesmo arquivo
84747,DefaultCoreEnvironment_1,ini/mei/final,mesmo arquivo
85183,ConnectionString_1,ini/mei/final,mesmo arquivo
86386,AbstractEndpoint_0,unique/ini,mesmo arquivo
86386,AbstractEndpoint_0_rev_1,mei/final,mesmo arquivo
86658,QueryHandler_2,mei/final,ambos
86658,QueryHandlerV2_3,unique/mei,ambos
86658,ViewHandler_6,mei/final,ambos
89062,BucketConfigParser_0,mei/final,mesmo arquivo
90061,YasjlQueryResponseParser_1,ini/mei/final,arquivo diferente
90417,BucketConfigParser_0,ini/mei/final,mesmo arquivo
90441,BucketConfigParser_0,ini/mei/final,mesmo arquivo
91673,Observe_1,ini/mei/final,mesmo arquivo
91686,SearchHandler_1,ini/mei,arquivo diferente
91686,AnalyticsHandler_0,unique/ini,arquivo diferente
91686,ViewHandler_2,unique/ini,arquivo diferente
91757,BucketConfigParser_0,ini/mei/final,mesmo arquivo
93414,CouchbaseNode_1,ini/mei/final,mesmo arquivo
93503,CouchbaseNode_1,ini/mei/final,mesmo arquivo
95413,DefaultNodeInfo_13,mei,mesmo arquivo
95413,DefaultNodeInfo_12,mei/final,mesmo arquivo
95759,DefaultCoreEnvironment_2,unique/mei,mesmo arquivo
95759,DefaultCoreEnvironment_2_rev_4,mei/final,mesmo arquivo
96319,DefaultCoreEnvironment_2,ini/mei/final,mesmo arquivo
97388,AnalyticsEndpoint_0,unique/ini/mei/final,arquivo diferente
99199,AbstractBucketConfig_0,unique/ini/mei/final,mesmo arquivo
99601,AbstractOnDemandService_2,ini/mei/final,arquivo diferente
99608,AbstractOnDemandService_2,unique/ini/mei/final,arquivo diferente
100789,AnalyticsEndpoint_0,ini/mei/final,arquivo diferente
108217,HttpRefresher_2,ini/mei/final,mesmo arquivo
108217,HttpRefresher_1,ini/mei/final,mesmo arquivo
108217,HttpRefresher_4,mei/final,arquivo diferente
146054,AbstractGenericHandler_0,ini/mei/final,mesmo arquivo
162678,Observe_0,unique/ini/mei/final,arquivo diferente
